Modern Showcase JULY 12 2020  ;Modern Preliminary JULY 11 2020  ;Modern League JULY 10 2020  ;Modern Preliminary JULY 10 2020  ;Modern Preliminary JULY 9 2020  ;Modern Preliminary JULY 8 2020  ;Modern League JULY 7 2020  ;Modern Preliminary JULY 7 2020  ;Modern Challenge JULY 6 2020  ;Modern Challenge JULY 5 2020  ;Modern Preliminary JULY 4 2020  ;Modern League JULY 3 2020  ;Modern Preliminary JULY 3 2020  ;Modern Preliminary JULY 2 2020  ;Modern Preliminary JULY 1 2020  ;Modern League JUNE 30 2020  ;Modern Preliminary JUNE 30 2020  ;Modern Challenge JUNE 29 2020  ;Modern Challenge JUNE 28 2020  ;Modern Preliminary JUNE 27 2020  ;Modern Preliminary JUNE 26 2020  ;Modern League JUNE 26 2020  ;Modern Preliminary JUNE 25 2020  ;Modern Preliminary JUNE 24 2020  ;Modern League JUNE 23 2020  ;Modern Challenge JUNE 21 2020  ;Modern Preliminary JUNE 20 2020  ;Modern Preliminary JUNE 19 2020  ;Modern League JUNE 19 2020  ;Modern Preliminary JUNE 18 2020  ;Modern League JUNE 16 2020  ;Modern Challenge JUNE 15 2020  ;Modern Challenge JUNE 14 2020  ;Modern Preliminary JUNE 12 2020  ;Modern League JUNE 16 2020  ;Modern Challenge JUNE 15 2020  ;Modern Challenge JUNE 14 2020  ;Modern Preliminary JUNE 12 2020  ;Modern League JUNE 12 2020  ;Modern Preliminary JUNE 11 2020  ;Modern Preliminary JUNE 10 2020  ;Modern League JUNE 9 2020  ;Modern Challenge JUNE 8 2020  ;Modern Showcase JUNE 7 2020  ;Modern Preliminary JUNE 6 2020  
Other;;Other;;;;Other;;Red Prowess;Amulet Titan;;Other;;;;Other;;Other;Other;;;Other;;;Other;Other;Other;;Other;;Other;Other;Other;Other;Other;Other;Other;Other;Other;;;Other;Other;Other;
Other;;Other;;;;Other;;Other;Other;;Other;;;;Other;;Other;Other;;;Other;;;Other;Other;Other;;Other;;Other;Other;Other;;Other;Other;Other;;Other;;;Other;Other;Other;
Other;;Other;;;;Other;;Other;Other;;Other;;;;Other;;Other;Other;;;Other;;;Other;Other;;;Other;;Other;Other;Other;;Other;Other;Other;;Other;;;Other;Red Prowess;Amulet Titan;
Other;;Other;;;;Other;;Other;Other;;Other;;;;Other;;Amulet Titan;Dredge;;;Other;;;Other;Other;;;Other;;Amulet Titan;Other;Other;;Amulet Titan;Other;Other;;Other;;;Other;Amulet Titan;Other;
Other;;Other;;;;Other;;Other;Other;;Other;;;;Other;;Other;Dredge;;;Other;;;Other;Other;;;Other;;Other;Other;Other;;Other;Other;Other;;Other;;;Other;Other;Amulet Titan;
Other;;Other;;;;Other;;Other;Other;;Other;;;;Amulet Titan;;Other;Other;;;Other;;;Other;Other;;;Other;;Other;Other;Amulet Titan;;Other;Other;Amulet Titan;;Other;;;Other;Other;Other;
Other;;Other;;;;Other;;Other;Other;;Other;;;;Other;;Other;Other;;;Other;;;Other;Other;;;Other;;Other;Other;Other;;Other;Other;Other;;Other;;;Other;Other;Other;
Amulet Titan;;Red Prowess;;;;Other;;Other;Other;;Other;;;;Other;;Amulet Titan;Red Prowess;;;Other;;;Other;Other;;;Other;;Other;Other;Other;;Other;Other;Other;;Dredge;;;Other;Other;Other;
Dredge;;Other;;;;Other;;Other;Other;;Other;;;;Other;;Other;Other;;;Other;;;Other;Other;;;Other;;Other;Other;Other;;Other;Other;Other;;Other;;;Other;Other;Other;
Other;;Other;;;;Other;;Amulet Titan;Other;;Other;;;;Other;;Other;Other;;;Other;;;Other;Other;;;Other;;Other;Other;Other;;Other;Other;Other;;Other;;;Other;Other;Amulet Titan;
Other;;Other;;;;Other;;Other;Red Prowess;;Other;;;;Other;;Other;Other;;;Other;;;Other;Other;;;Other;;Other;Other;Other;;Other;Other;Other;;Other;;;Other;Other;Other;
Other;;Other;;;;Other;;Other;Other;;Other;;;;Other;;Other;Other;;;Other;;;Other;Other;;;Dredge;;Amulet Titan;Other;Other;;Amulet Titan;Other;Other;;Other;;;Other;Other;Other;
Other;;Other;;;;Other;;Other;Other;;Other;;;;Other;;Other;Other;;;Other;;;Other;Other;;;Other;;Other;Other;Other;;Other;Other;Other;;Other;;;Other;Other;Other;
Other;;Other;;;;Other;;Other;Other;;Other;;;;Other;;Other;Other;;;Other;;;Other;Other;;;Other;;Other;Other;Other;;Other;Other;Other;;Other;;;Other;Amulet Titan;Other;
Other;;Other;;;;Other;;Other;Other;;Other;;;;Other;;Other;Other;;;Other;;;Red Prowess;Other;;;Other;;Other;Other;Other;;Other;Other;Other;;Other;;;Other;Other;Other;
;;Other;;;;Other;;;;;Other;;;;Other;;;;;;Dredge;;;Other;;;;Other;;Other;;;;Other;;;;Other;;;Other;;;
;;Other;;;;Other;;;;;Other;;;;Other;;;;;;Other;;;Other;;;;Other;;Other;;;;Other;;;;Other;;;Other;;;
;;Other;;;;Other;;;;;Other;;;;Other;;;;;;Other;;;Other;;;;Other;;Other;;;;Other;;;;Other;;;Other;;;
;;Other;;;;Dredge;;;;;Other;;;;Other;;;;;;Other;;;Other;;;;Other;;Other;;;;Other;;;;Other;;;Other;;;
;;Other;;;;Other;;;;;Other;;;;Other;;;;;;;;;Dredge;;;;Other;;Other;;;;Other;;;;Other;;;Other;;;
;;Other;;;;Other;;;;;Other;;;;Other;;;;;;;;;Amulet Titan;;;;Other;;Other;;;;Other;;;;Other;;;Red Prowess;;;
;;Amulet Titan;;;;Other;;;;;Other;;;;Other;;;;;;;;;Other;;;;Other;;Other;;;;Other;;;;Amulet Titan;;;Other;;;
;;Other;;;;Other;;;;;Other;;;;Other;;;;;;;;;Other;;;;Other;;Other;;;;Other;;;;Other;;;Other;;;
;;Other;;;;Other;;;;;Other;;;;Other;;;;;;;;;Other;;;;;;Other;;;;Other;;;;Other;;;Other;;;
;;Other;;;;Other;;;;;Other;;;;Other;;;;;;;;;Other;;;;;;Other;;;;Other;;;;Other;;;Other;;;
;;;;;;Other;;;;;Other;;;;Other;;;;;;;;;Other;;;;;;Other;;;;Other;;;;Other;;;Other;;;
;;;;;;Other;;;;;Dredge;;;;Other;;;;;;;;;Other;;;;;;Other;;;;Other;;;;Other;;;Other;;;
;;;;;;Other;;;;;Other;;;;Other;;;;;;;;;Other;;;;;;Other;;;;Other;;;;;;;Other;;;
;;;;;;Red Prowess;;;;;Other;;;;Other;;;;;;;;;Other;;;;;;Other;;;;Other;;;;;;;Other;;;
;;;;;;Other;;;;;Other;;;;Other;;;;;;;;;Other;;;;;;Other;;;;Other;;;;;;;Other;;;
;;;;;;Other;;;;;Other;;;;Other;;;;;;;;;Other;;;;;;Other;;;;Other;;;;;;;Other;;;
;;;;;;Other;;;;;Other;;;;Other;;;;;;;;;Other;;;;;;Other;;;;Other;;;;;;;Other;;;
;;;;;;Other;;;;;Red Prowess;;;;Other;;;;;;;;;Other;;;;;;Other;;;;Other;;;;;;;Red Prowess;;;
;;;;;;Other;;;;;Other;;;;Other;;;;;;;;;Other;;;;;;Other;;;;Other;;;;;;;Other;;;
;;;;;;Other;;;;;Other;;;;Other;;;;;;;;;Other;;;;;;Other;;;;Other;;;;;;;Other;;;
;;;;;;Other;;;;;;;;;;;;;;;;;;Other;;;;;;Other;;;;Other;;;;;;;Other;;;
;;;;;;Other;;;;;;;;;;;;;;;;;;;;;;;;Other;;;;Other;;;;;;;Other;;;
;;;;;;Other;;;;;;;;;;;;;;;;;;;;;;;;Other;;;;Other;;;;;;;Other;;;
;;;;;;Other;;;;;;;;;;;;;;;;;;;;;;;;Other;;;;Other;;;;;;;Other;;;
;;;;;;Other;;;;;;;;;;;;;;;;;;;;;;;;Other;;;;Other;;;;;;;Other;;;
;;;;;;Other;;;;;;;;;;;;;;;;;;;;;;;;Red Prowess;;;;Red Prowess;;;;;;;Other;;;
;;;;;;Other;;;;;;;;;;;;;;;;;;;;;;;;Other;;;;Other;;;;;;;Other;;;
;;;;;;Other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Amulet Titan;;;
;;;;;;Other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Other;;;
;;;;;;Other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Other;;;
;;;;;;Other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Other;;;
;;;;;;Other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Other;;;
;;;;;;Other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
